CBSA,FIPS,NAME,LSAD
19820,26163,"Wayne County, MI",County or equivalent
19820,,"Warren-Troy-Farmington Hills, MI",Metropolitan Division
19820,26087,"Lapeer County, MI",County or equivalent
19820,26093,"Livingston County, MI",County or equivalent
19820,26099,"Macomb County, MI",County or equivalent
19820,26125,"Oakland County, MI",County or equivalent
19820,26147,"St. Clair County, MI",County or equivalent
20020,,"Dothan, AL",Metropolitan Statistical Area
20020,1061,"Geneva County, AL",County or equivalent
20020,1067,"Henry County, AL",County or equivalent
20020,1069,"Houston County, AL",County or equivalent
20100,,"Dover, DE",Metropolitan Statistical Area
20100,10001,"Kent County, DE",County or equivalent
20220,,"Dubuque, IA",Metropolitan Statistical Area
20220,19061,"Dubuque County, IA",County or equivalent
20260,,"Duluth, MN-WI",Metropolitan Statistical Area
20260,27017,"Carlton County, MN",County or equivalent
20260,27075,"Lake County, MN",County or equivalent
20260,27137,"St. Louis County, MN",County or equivalent
20260,55031,"Douglas County, WI",County or equivalent
20500,,"Durham-Chapel Hill, NC",Metropolitan Statistical Area
20500,37037,"Chatham County, NC",County or equivalent
20500,37063,"Durham County, NC",County or equivalent
20500,37077,"Granville County, NC",County or equivalent
20500,37135,"Orange County, NC",County or equivalent
20500,37145,"Person County, NC",County or equivalent
20700,,"East Stroudsburg, PA",Metropolitan Statistical Area
20700,42089,"Monroe County, PA",County or equivalent
20740,,"Eau Claire, WI",Metropolitan Statistical Area
20740,55017,"Chippewa County, WI",County or equivalent
20740,55035,"Eau Claire County, WI",County or equivalent
20940,,"El Centro, CA",Metropolitan Statistical Area
20940,6025,"Imperial County, CA",County or equivalent
21060,,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area
21060,21093,"Hardin County, KY",County or equivalent
21060,21123,"Larue County, KY",County or equivalent
21060,21163,"Meade County, KY",County or equivalent
21140,,"Elkhart-Goshen, IN",Metropolitan Statistical Area
21140,18039,"Elkhart County, IN",County or equivalent
21300,,"Elmira, NY",Metropolitan Statistical Area
21300,36015,"Chemung County, NY",County or equivalent
21340,,"El Paso, TX",Metropolitan Statistical Area
21340,48141,"El Paso County, TX",County or equivalent
21340,48229,"Hudspeth County, TX",County or equivalent
21420,,"Enid, OK",Metropolitan Statistical Area
21420,40047,"Garfield County, OK",County or equivalent
21500,,"Erie, PA",Metropolitan Statistical Area
21500,42049,"Erie County, PA",County or equivalent
21660,,"Eugene-Springfield, OR",Metropolitan Statistical Area
21660,41039,"Lane County, OR",County or equivalent
21780,,"Evansville, IN-KY",Metropolitan Statistical Area
21780,18129,"Posey County, IN",County or equivalent
21780,18163,"Vanderburgh County, IN",County or equivalent
21780,18173,"Warrick County, IN",County or equivalent
21780,21101,"Henderson County, KY",County or equivalent
21820,,"Fairbanks, AK",Metropolitan Statistical Area
21820,2090,"Fairbanks North Star Borough, AK",County or equivalent
22020,,"Fargo, ND-MN",Metropolitan Statistical Area
22020,27027,"Clay County, MN",County or equivalent
22020,38017,"Cass County, ND",County or equivalent
22140,,"Farmington, NM",Metropolitan Statistical Area
22140,35045,"San Juan County, NM",County or equivalent
22180,,"Fayetteville, NC",Metropolitan Statistical Area
22180,37051,"Cumberland County, NC",County or equivalent
22180,37085,"Harnett County, NC",County or equivalent
22180,37093,"Hoke County, NC",County or equivalent
22220,,"Fayetteville-Springdale-Rogers, AR",Metropolitan Statistical Area
22220,5007,"Benton County, AR",County or equivalent
22220,5087,"Madison County, AR",County or equivalent
22220,5143,"Washington County, AR",County or equivalent
22380,,"Flagstaff, AZ",Metropolitan Statistical Area
22380,4005,"Coconino County, AZ",County or equivalent
22420,,"Flint, MI",Metropolitan Statistical Area
22420,26049,"Genesee County, MI",County or equivalent
22500,,"Florence, SC",Metropolitan Statistical Area
22500,45031,"Darlington County, SC",County or equivalent
22500,45041,"Florence County, SC",County or equivalent
22520,,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area
22520,1033,"Colbert County, AL",County or equivalent
22520,1077,"Lauderdale County, AL",County or equivalent
22540,,"Fond du Lac, WI",Metropolitan Statistical Area
22540,55039,"Fond du Lac County, WI",County or equivalent
22660,,"Fort Collins, CO",Metropolitan Statistical Area
22660,8069,"Larimer County, CO",County or equivalent
22900,,"Fort Smith, AR-OK",Metropolitan Statistical Area
22900,5033,"Crawford County, AR",County or equivalent
22900,5047,"Franklin County, AR",County or equivalent
22900,5131,"Sebastian County, AR",County or equivalent
22900,40135,"Sequoyah County, OK",County or equivalent
23060,,"Fort Wayne, IN",Metropolitan Statistical Area
23060,18003,"Allen County, IN",County or equivalent
23060,18183,"Whitley County, IN",County or equivalent
23420,,"Fresno, CA",Metropolitan Statistical Area
23420,6019,"Fresno County, CA",County or equivalent
23460,,"Gadsden, AL",Metropolitan Statistical Area
23460,1055,"Etowah County, AL",County or equivalent
23540,,"Gainesville, FL",Metropolitan Statistical Area
23540,12001,"Alachua County, FL",County or equivalent
23540,12041,"Gilchrist County, FL",County or equivalent
23540,12075,"Levy County, FL",County or equivalent
23580,,"Gainesville, GA",Metropolitan Statistical Area
23580,13139,"Hall County, GA",County or equivalent
23900,,"Gettysburg, PA",Metropolitan Statistical Area
23900,42001,"Adams County, PA",County or equivalent
24020,,"Glens Falls, NY",Metropolitan Statistical Area
24020,36113,"Warren County, NY",County or equivalent
