category,code,title,regional_components
Metropolitan Area,17660,"Coeur d'Alene, ID","Kootenai County, ID (16055)"
Metropolitan Area,17780,"College Station-Bryan, TX","Brazos County, TX (48041); Burleson County, TX (48051); Robertson County, TX (48395)"
Metropolitan Area,17820,"Colorado Springs, CO","El Paso County, CO (08041); Teller County, CO (08119)"
Metropolitan Area,17860,"Columbia, MO","Boone County, MO (29019); Howard County, MO (29089)"
Metropolitan Area,17900,"Columbia, SC","Calhoun County, SC (45017); Fairfield County, SC (45039); Kershaw County, SC (45055); Lexington County, SC (45063); Richland County, SC (45079); Saluda County, SC (45081)"
Metropolitan Area,17980,"Columbus, GA-AL","Russell County, AL (01113); Chattahoochee County, GA (13053); Harris County, GA (13145); Marion County, GA (13197); Muscogee County, GA (13215)"
Metropolitan Area,18020,"Columbus, IN","Bartholomew County, IN (18005)"
Metropolitan Area,18140,"Columbus, OH","Delaware County, OH (39041); Fairfield County, OH (39045); Franklin County, OH (39049); Licking County, OH (39089); Madison County, OH (39097); Morrow County, OH (39117); Pickaway County, OH (39129); Union County, OH (39159)"
Metropolitan Area,18580,"Corpus Christi, TX","Aransas County, TX (48007); Nueces County, TX (48355); San Patricio County, TX (48409)"
Metropolitan Area,18700,"Corvallis, OR","Benton County, OR (41003)"
Metropolitan Area,18880,"Crestview-Fort Walton Beach-Destin, FL","Okaloosa County, FL (12091)"
Metropolitan Area,19060,"Cumberland, MD-WV","Allegany County, MD (24001); Mineral County, WV (54057)"
Metropolitan Area,19100,"Dallas-Fort Worth-Arlington, TX","Collin County, TX (48085); Dallas County, TX (48113); Delta County, TX (48119); Denton County, TX (48121); Ellis County, TX (48139); Hunt County, TX (48231); Johnson County, TX (48251); Kaufman County, TX (48257); Parker County, TX (48367); Rockwall County, TX (48397); Tarrant County, TX (48439); Wise County, TX (48497)"
Metropolitan Area,19140,"Dalton, GA","Murray County, GA (13213); Whitfield County, GA (13313)"
Metropolitan Area,19180,"Danville, IL","Vermilion County, IL (17183)"
Metropolitan Area,19260,"Danville, VA","Pittsylvania County, VA (51143); Danville city, VA (51590)"
Metropolitan Area,19340,"Davenport-Moline-Rock Island, IA-IL","Henry County, IL (17073); Mercer County, IL (17131); Rock Island County, IL (17161); Scott County, IA (19163)"
Metropolitan Area,19380,"Dayton, OH","Greene County, OH (39057); Miami County, OH (39109); Montgomery County, OH (39113); Preble County, OH (39135)"
Metropolitan Area,19460,"Decatur, AL","Lawrence County, AL (01079); Morgan County, AL (01103)"
Metropolitan Area,19500,"Decatur, IL","Macon County, IL (17115)"
Metropolitan Area,19660,"Deltona-Daytona Beach-Ormond Beach, FL","Volusia County, FL (12127)"
Metropolitan Area,19740,"Denver-Aurora-Broomfield, CO","Adams County, CO (08001); Arapahoe County, CO (08005); Broomfield County, CO (08014); Clear Creek County, CO (08019); Denver County, CO (08031); Douglas County, CO (08035); Elbert County, CO (08039); Gilpin County, CO (08047); Jefferson County, CO (08059); Park County, CO (08093)"
Metropolitan Area,19780,"Des Moines-West Des Moines, IA","Dallas County, IA (19049); Guthrie County, IA (19077); Madison County, IA (19121); Polk County, IA (19153); Warren County, IA (19181)"
Metropolitan Area,19820,"Detroit-Warren-Livonia, MI","Lapeer County, MI (26087); Livingston County, MI (26093); Macomb County, MI (26099); Oakland County, MI (26125); St. Clair County, MI (26147); Wayne County, MI (26163)"
Metropolitan Area,20020,"Dothan, AL","Geneva County, AL (01061); Henry County, AL (01067); Houston County, AL (01069)"
Metropolitan Area,20100,"Dover, DE","Kent County, DE (10001)"
Metropolitan Area,20220,"Dubuque, IA","Dubuque County, IA (19061)"
Metropolitan Area,20260,"Duluth, MN-WI","Carlton County, MN (27017); St. Louis County, MN (27137); Douglas County, WI (55031)"
Metropolitan Area,20500,"Durham-Chapel Hill, NC","Chatham County, NC (37037); Durham County, NC (37063); Orange County, NC (37135); Person County, NC (37145)"
Metropolitan Area,20740,"Eau Claire, WI","Chippewa County, WI (55017); Eau Claire County, WI (55035)"
Metropolitan Area,20940,"El Centro, CA","Imperial County, CA (06025)"
Metropolitan Area,21060,"Elizabethtown, KY","Hardin County, KY (21093); Larue County, KY (21123)"
Metropolitan Area,21140,"Elkhart-Goshen, IN","Elkhart County, IN (18039)"
Metropolitan Area,21300,"Elmira, NY","Chemung County, NY (36015)"
Metropolitan Area,21340,"El Paso, TX","El Paso County, TX (48141)"
Metropolitan Area,21500,"Erie, PA","Erie County, PA (42049)"
Metropolitan Area,21660,"Eugene-Springfield, OR","Lane County, OR (41039)"
Metropolitan Area,21780,"Evansville, IN-KY","Gibson County, IN (18051); Posey County, IN (18129); Vanderburgh County, IN (18163); Warrick County, IN (18173); Henderson County, KY (21101); Webster County, KY (21233)"
Metropolitan Area,21820,"Fairbanks, AK","Fairbanks North Star Borough, AK (02090)"
Metropolitan Area,21940,"Fajardo, PR","Ceiba Municipio, PR (72037); Fajardo Municipio, PR (72053); Luquillo Municipio, PR (72089)"
Metropolitan Area,22020,"Fargo, ND-MN","Clay County, MN (27027); Cass County, ND (38017)"
Metropolitan Area,22140,"Farmington, NM","San Juan County, NM (35045)"
Metropolitan Area,22180,"Fayetteville, NC","Cumberland County, NC (37051); Hoke County, NC (37093)"
Metropolitan Area,22220,"Fayetteville-Springdale-Rogers, AR-MO","Benton County, AR (05007); Madison County, AR (05087); Washington County, AR (05143); McDonald County, MO (29119)"
Metropolitan Area,22380,"Flagstaff, AZ","Coconino County, AZ (04005)"
Metropolitan Area,22420,"Flint, MI","Genesee County, MI (26049)"
Metropolitan Area,22500,"Florence, SC","Darlington County, SC (45031); Florence County, SC (45041)"
Metropolitan Area,22520,"Florence-Muscle Shoals, AL","Colbert County, AL (01033); Lauderdale County, AL (01077)"
Metropolitan Area,22540,"Fond du Lac, WI","Fond du Lac County, WI (55039)"
Metropolitan Area,22660,"Fort Collins-Loveland, CO","Larimer County, CO (08069)"
Metropolitan Area,22900,"Fort Smith, AR-OK","Crawford County, AR (05033); Franklin County, AR (05047); Sebastian County, AR (05131); Le Flore County, OK (40079); Sequoyah County, OK (40135)"
Metropolitan Area,23060,"Fort Wayne, IN","Allen County, IN (18003); Wells County, IN (18179); Whitley County, IN (18183)"
Metropolitan Area,23420,"Fresno, CA","Fresno County, CA (06019)"
Metropolitan Area,23460,"Gadsden, AL","Etowah County, AL (01055)"
Metropolitan Area,23540,"Gainesville, FL","Alachua County, FL (12001); Gilchrist County, FL (12041)"
Metropolitan Area,23580,"Gainesville, GA","Hall County, GA (13139)"
Metropolitan Area,24020,"Glens Falls, NY","Warren County, NY (36113); Washington County, NY (36115)"
Metropolitan Area,24140,"Goldsboro, NC","Wayne County, NC (37191)"
Metropolitan Area,24220,"Grand Forks, ND-MN","Polk County, MN (27119); Grand Forks County, ND (38035)"
Metropolitan Area,24300,"Grand Junction, CO","Mesa County, CO (08077)"
Metropolitan Area,24340,"Grand Rapids-Wyoming, MI","Barry County, MI (26015); Ionia County, MI (26067); Kent County, MI (26081); Newaygo County, MI (26123)"
Metropolitan Area,24500,"Great Falls, MT","Cascade County, MT (30013)"
Metropolitan Area,24540,"Greeley, CO","Weld County, CO (08123)"
Metropolitan Area,24580,"Green Bay, WI","Brown County, WI (55009); Kewaunee County, WI (55061); Oconto County, WI (55083)"
Metropolitan Area,24660,"Greensboro-High Point, NC","Guilford County, NC (37081); Randolph County, NC (37151); Rockingham County, NC (37157)"
Metropolitan Area,24780,"Greenville, NC","Greene County, NC (37079); Pitt County, NC (37147)"
Metropolitan Area,24860,"Greenville-Mauldin-Easley, SC","Greenville County, SC (45045); Laurens County, SC (45059); Pickens County, SC (45077)"
Metropolitan Area,25020,"Guayama, PR","Arroyo Municipio, PR (72015); Guayama Municipio, PR (72057); Patillas Municipio, PR (72109)"
Metropolitan Area,25060,"Gulfport-Biloxi, MS","Hancock County, MS (28045); Harrison County, MS (28047); Stone County, MS (28131)"
Metropolitan Area,25180,"Hagerstown-Martinsburg, MD-WV","Washington County, MD (24043); Berkeley County, WV (54003); Morgan County, WV (54065)"
Metropolitan Area,25260,"Hanford-Corcoran, CA","Kings County, CA (06031)"
